병원코드(쇼핑몰),병원명,주소,병원코드(SAP)
4992,블리비의원 마포,서울 마포구 양화로 161 (동교동. 케이스퀘어),sap246
4993,플래너 성형외과,서울 서초구 강남대로 439 (서초동. 유화빌딩),sap247
4995,온유가정의학과의원,강원특별자치도 원주시 지정면 신지정로 216 (가곡리),sap248
4996,제너리스의원 연신내점,서울 은평구 연서로 216 (대조동. 대조동아트캐슬주상복합),sap249
4997,미앤유의원,경기도 용인시 기흥구 죽전로 49. 씨티프라자 (보정동),sap250
4999,미케이의원,서울 서초구 서초대로77길 24 (서초동. 강남 지웰타워2),sap251
5000,더웨이성형외과의원,서울 강남구 테헤란로 107 (역삼동. 메디타워),sap252
5002,예쁨주의쁨의원,서울특별시 강남구 강남대로 470 (역삼동) 808타워,sap253
5003,밴스의원 과천점,경기 과천시 관문로 92 (중앙동. 힐스테이트 과천중앙),sap254
5004,드림성형외과,서울 강남구 신사동 603-2 드림성형외과 7층,sap255
5005,라디앙의원,경기 구리시 건원대로 3 (인창동. 흥화브라운오피스텔),sap256
5006,샤인빔의원,서울 마포구 양화로 151 (동교동),sap257
5008,미엘르의원,부산 부산진구 서면로 48 (부전동. 현경빌딩),sap258
5010,강남세란의원,서울 서초구 명달로 134 (서초동),sap259
5011,아르노피부과의원,서울 강남구 언주로 807 (신사동. 소촌빌딩),sap260
5012,샤렌의원,경기 평택시 관광특구로 36 (서정동. 송탄빌딩),sap261
5013,닥터스피부과의원,서울 은평구 통일로 750 (불광동),sap262
5015,다시봄날의원 분당점,경기 성남시 분당구 돌마로 87 (금곡동. 골드프라자),sap263
5016,서울 새로운 피부과,서울 양천구 오목로 279 (목동. 현대프라자),sap264
5017,제이필의원,서울 마포구 양화로 166 (동교동. 미래프라자),sap265
5018,고은가정의학과의원,서울 마포구 신공덕동 15-19,sap266
5019,톤즈의원,인천광역시 부평구 경원대로 1395 (부평동) 부평일번가,sap267
5020,데이뷰의원 강서발산점,서울 강서구 강서로 399 (마곡동. 마곡하이마루),sap268
5021,에이탑성형외과,서울특별시 강남구 테헤란로 105 (역삼동),sap269
5022,우리엘 의원,서울 강남구 영동대로 701 (청담동. W TOWER),sap270
5023,진이어스,인천광역시 서구 정서진4로 25 (오류동),sap271
5025,골든발란스여성의원,서울 강남구 역삼동 808-5,sap272
5027,뷰앤플의원,서울 강남구 신사동 659-11,sap273
5028,드레스성형외과,서울 서초구 강남대로 449 (서초동. 영신빌딩),sap274
5029,세이렌의원,서울 관악구 남부순환로 1812 (봉천동. 윤건빌딩),sap275
5030,온리프성형외과,서울 서초구 강남대로 399 (서초동. 몬테소리),sap276
5031,엘레브의원,서울 강남구 도산대로 333 (신사동. K+ 메디칼타워),sap277
5032,아름다운미탐의원,서울 중구 퇴계로 123 (충무로2가. 하이헤리엇),sap278
5033,명동예쁨주의쁨의원,서울 중구 명동8가길 11 (충무로2가. 이화빌딩(명동)),sap279
5034,코코의원,서울특별시 강동구 천호대로 1034 (성내동) 탑 메디칼센타,sap280
